"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / [Primary]","Included / International","Status","product.metafields.custom.quote"
"wooden-house-scene-2","Wooden House Scene 2","Hand-made resin creation: Wooden House Scene 2.","Alison Resin Creations (ARC)","Resin Art","2, House, Scene, Wooden","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/wooden-house-scene-2.jpg","1","Wooden House Scene 2","FALSE","Wooden House Scene 2","Discover the Wooden House Scene 2 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"wooden-house-scene-3","Wooden House Scene 3","Hand-made resin creation: Wooden House Scene 3.","Alison Resin Creations (ARC)","Resin Art","3, House, Scene, Wooden","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/wooden-house-scene-3.jpg","1","Wooden House Scene 3","FALSE","Wooden House Scene 3","Discover the Wooden House Scene 3 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"wooden-quote","Wooden Quote","Hand-made resin creation: Wooden Quote.","Alison Resin Creations (ARC)","Resin Art","Blue, Mauve, Quote, Wooden","TRUE","Color","Blue",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/wooden-quote-blue.jpg","1","Wooden Quote - Blue","FALSE","Wooden Quote","Discover the Wooden Quote from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"wooden-quote","Wooden Quote","Hand-made resin creation: Wooden Quote.","Alison Resin Creations (ARC)","Resin Art","Blue, Mauve, Quote, Wooden","TRUE","Color","Mauve",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/wooden-quote-mauve.jpg","2","Wooden Quote - Mauve","FALSE","Wooden Quote","Discover the Wooden Quote from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"big-house-scene",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/big-house-scene.jpg","2","Big House Scene",,,,,,,,,,,,,,,,,,,,,,,,
"blue-frog",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/blue-frog.jpg","2","Blue Frog",,,,,,,,,,,,,,,,,,,,,,,,
"butterfly-white-quote-1",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/butterfly-white-quote-1.jpg","2","Butterfly White Quote 1",,,,,,,,,,,,,,,,,,,,,,,,
"butterfly-white-quote-2",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/butterfly-white-quote-2.jpg","2","Butterfly White Quote 2",,,,,,,,,,,,,,,,,,,,,,,,
"dingy-and-anchor-sets-white-rope",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/dingy-and-anchor-sets-white-rope.jpg","2","Dingy And Anchor Sets White Rope",,,,,,,,,,,,,,,,,,,,,,,,
"dingy-and-anchor-sets-with-gold-rope",,,,,,,,,,,,,,,,,,,,,,,,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/dingy-and-anchor-sets-with-gold-rope.jpg","2","Dingy And Anchor Sets With Gold Rope",,,,,,,,,,,,,,,,,,,,,,,,
