"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\butterfly-bday-60-clear.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","butterfly-bday-60-clear.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","butterfly-bday-60-clear","C:\GitRepos\alisoncreations\resources\images\butterfly-bday-60-clear.jpg",,,"butterfly-bday-60-clear.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\butterfly-bday-60-clear.jpg",".jpg","19/09/2025 13:15:15","19/09/2025 12:15:15","05/10/2025 00:15:09","04/10/2025 23:15:09","08/06/2025 11:41:08","08/06/2025 10:41:08",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-1-.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","butterfly-white-quote-1-.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","butterfly-white-quote-1-","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-1-.jpg",,,"butterfly-white-quote-1-.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-1-.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-1.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","butterfly-white-quote-1.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","butterfly-white-quote-1","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-1.jpg",,,"butterfly-white-quote-1.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-1.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:08:13","15/06/2025 13:08:13",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-2.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","butterfly-white-quote-2.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","butterfly-white-quote-2","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-2.jpg",,,"butterfly-white-quote-2.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-2.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-3.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","butterfly-white-quote-3.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","butterfly-white-quote-3","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-3.jpg",,,"butterfly-white-quote-3.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\butterfly-white-quote-3.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","15/06/2025 14:08:05","15/06/2025 13:08:05",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\cat-&-dog.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","cat-&-dog.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","cat-&-dog","C:\GitRepos\alisoncreations\resources\images\cat-&-dog.jpg",,,"cat-&-dog.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\cat-&-dog.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","01/06/2025 17:10:12","01/06/2025 16:10:12",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\cat-brown-white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","cat-brown-white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","cat-brown-white","C:\GitRepos\alisoncreations\resources\images\cat-brown-white.jpg",,,"cat-brown-white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\cat-brown-white.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","15/06/2025 14:08:44","15/06/2025 13:08:44",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\cat-dark-silver.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","cat-dark-silver.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","cat-dark-silver","C:\GitRepos\alisoncreations\resources\images\cat-dark-silver.jpg",,,"cat-dark-silver.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\cat-dark-silver.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","15/06/2025 14:08:47","15/06/2025 13:08:47",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\cat-gold-brown.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","cat-gold-brown.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","cat-gold-brown","C:\GitRepos\alisoncreations\resources\images\cat-gold-brown.jpg",,,"cat-gold-brown.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\cat-gold-brown.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","15/06/2025 14:08:44","15/06/2025 13:08:44",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\cat-jade.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","cat-jade.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","cat-jade","C:\GitRepos\alisoncreations\resources\images\cat-jade.jpg",,,"cat-jade.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\cat-jade.jpg",".jpg","19/09/2025 13:15:14","19/09/2025 12:15:14","04/10/2025 23:56:39","04/10/2025 22:56:39","15/06/2025 14:08:46","15/06/2025 13:08:46",,"-1","Archive"
