"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Big  house scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Big  house scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Big  house scene","C:\GitRepos\alisoncreations\resources\images\Big  house scene.jpg",,,"Big  house scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Big  house scene.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:09:25","15/06/2025 13:09:25",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Big coloured light up house scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Big coloured light up house scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Big coloured light up house scene","C:\GitRepos\alisoncreations\resources\images\Big coloured light up house scene.jpg",,,"Big coloured light up house scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Big coloured light up house scene.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:09:23","15/06/2025 13:09:23",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Big light up house scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Big light up house scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Big light up house scene","C:\GitRepos\alisoncreations\resources\images\Big light up house scene.jpg",,,"Big light up house scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Big light up house scene.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:09:58","24/09/2025 21:09:58","15/06/2025 14:09:26","15/06/2025 13:09:26",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Birds in house white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Birds in house white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Birds in house white","C:\GitRepos\alisoncreations\resources\images\Birds in house white.jpg",,,"Birds in house white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Birds in house white.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:08:56","15/06/2025 13:08:56",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Birds on branch .jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Birds on branch .jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Birds on branch ","C:\GitRepos\alisoncreations\resources\images\Birds on branch .jpg",,,"Birds on branch .jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Birds on branch .jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","01/06/2025 17:10:12","01/06/2025 16:10:12",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Birds white in circle.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Birds white in circle.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Birds white in circle","C:\GitRepos\alisoncreations\resources\images\Birds white in circle.jpg",,,"Birds white in circle.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Birds white in circle.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:08:10","15/06/2025 13:08:10",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Blue frog (2).jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Blue frog (2).jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Blue frog (2)","C:\GitRepos\alisoncreations\resources\images\Blue frog (2).jpg",,,"Blue frog (2).jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Blue frog (2).jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:08:56","15/06/2025 13:08:56",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Blue frog.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Blue frog.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Blue frog","C:\GitRepos\alisoncreations\resources\images\Blue frog.jpg",,,"Blue frog.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Blue frog.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:08:59","15/06/2025 13:08:59",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Boat with flower Anchor gold rope.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Boat with flower Anchor gold rope.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Boat with flower Anchor gold rope","C:\GitRepos\alisoncreations\resources\images\Boat with flower Anchor gold rope.jpg",,,"Boat with flower Anchor gold rope.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Boat with flower Anchor gold rope.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Boat with flower Anchor white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Boat with flower Anchor white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Boat with flower Anchor white","C:\GitRepos\alisoncreations\resources\images\Boat with flower Anchor white.jpg",,,"Boat with flower Anchor white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Boat with flower Anchor white.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
